text
ONPABLO_99 @jaikannada Sade nanmagane adke half knowledge dangerous annodu tilkond matadu Uri surgical strike..\xe2\x80\xa6 https://t.co/WHQYmUtKvw'
b'i. Connaught Place 9th most expensive office location in the world: CBRE\nii. \xe2\x80\x98Gully Boy\xe2\x80\x99 wins NETPAC Award at BIFAN\xe2\x80\xa6 https://t.co/wJDmf5SMYf'
b'RT @champagnefatti: The last time I was content was when I successfully snuck in Chinese food into a movie and had a whole fine dining expe\xe2\x80\xa6'
b'The last time I was content was when I successfully snuck in Chinese food into a movie and had a whole fine dining\xe2\x80\xa6 https://t.co/vkNwotk4MK'
b'Gully boy \xf0\x9f\x92\x93\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f'
b'Gully boy \xf0\x9f\x92\x93\xf0\x9f\x92\x93\xf0\x9f\x92\x93\xf0\x9f\x92\x8b https://t.co/u31s59kq0T'
b'RT @aadisrkian1: 5) When Ranveer Singh INJURES Female FANS After Jumping Into Crowd | Gully Boy\n\nTab ye news dab jati h due to ranveer PR b\xe2\x80\xa6'
b'RT @ThroughAScreen_: Alia Bhatt in Gully Boy (2019) https://t.co/bwOvGmfNoP'
b'RT @ThroughAScreen_: Alia Bhatt in Gully Boy (2019) https://t.co/bwOvGmfNoP'
b'\xf0\x9f\x91\x8d on @YouTube: Gully Boy Part 2 is loading... | Rana | Tabib | Ring Tone https://t.co/RrKehA4vBd'
b'RT @ThroughAScreen_: Alia Bhatt in Gully Boy (2019) https://t.co/bwOvGmfNoP'
"b'RT @dingax1983: @BollywoodPod Gully Boy. Not so favourite - watched (Bharat), not watched (Uri, Kabir Singh)'"
"b'@BollywoodPod Gully Boy. Not so favourite - watched (Bharat), not watched (Uri, Kabir Singh)'"
"b'RT @yegdesi: @BollywoodPod Gully Boy, Badla, missed watching the Tashkent Files, Kabir Singh and Article 15. Although this year has seen mo\xe2\x80\xa6'"
"b'@BollywoodPod Gully Boy, Badla, missed watching the Tashkent Files, Kabir Singh and Article 15. Although this year\xe2\x80\xa6 https://t.co/0qehi0ywBn'"
b'RT @RanveerPlanet: Stills - Ranveer Singh as Murad in Gully Boy \xf0\x9f\xa4\x9f\xf0\x9f\x8f\xbc #1 https://t.co/CmHFEJ12wY'
b'RT @aadisrkian1: 5) When Ranveer Singh INJURES Female FANS After Jumping Into Crowd | Gully Boy\n\nTab ye news dab jati h due to ranveer PR b\xe2\x80\xa6'
"b'RT @conorYNWA1: Oakley Cannonier, the ball boy whose quick thinking allowed Alexander-Arnold to tee up Origi for the fourth against Barcelo\xe2\x80\xa6'"
b'RT @ThroughAScreen_: Alia Bhatt in Gully Boy (2019) https://t.co/bwOvGmfNoP'
b'RT @aadisrkian1: 5) When Ranveer Singh INJURES Female FANS After Jumping Into Crowd | Gully Boy\n\nTab ye news dab jati h due to ranveer PR b\xe2\x80\xa6'
b'RT @RanveerPlanet: Stills - Ranveer Singh as Murad in Gully Boy \xf0\x9f\xa4\x9f\xf0\x9f\x8f\xbc #2 https://t.co/UWJUwRQ1jM'
b'RT @aadisrkian1: 5) When Ranveer Singh INJURES Female FANS After Jumping Into Crowd | Gully Boy\n\nTab ye news dab jati h due to ranveer PR b\xe2\x80\xa6'
b'RT @aadisrkian1: 5) When Ranveer Singh INJURES Female FANS After Jumping Into Crowd | Gully Boy\n\nTab ye news dab jati h due to ranveer PR b\xe2\x80\xa6'
b'RT @RanveerPlanet: Stills - Ranveer Singh as Murad in Gully Boy \xf0\x9f\xa4\x9f\xf0\x9f\x8f\xbc #1 https://t.co/CmHFEJ12wY'
b'Late to this but my favorite films of 2019 so far (no order):\n\nHappy Death Day 2U \nGully Boy\nHow to Train Your Drag\xe2\x80\xa6 https://t.co/wwPvpl0pam'
b'RT @killTURNHERkill: @AppleMusic @theblacktongue @the64thfloor @fucklilprada @yeahfreshie @KRIMELIFECASS @abg_neal @cokestasy @ALBenji3 @Ch\xe2\x80\xa6'
b'RT @TheManish89: @BollywoodPod ELKDTAL Gully Boy and of course Katrina dancing in Bharat'
"b'RT @FilmiFeminist: Faves: Gully Boy, with Mard Ko Dard Nahi Hota as runner up. https://t.co/g0sJblwdKp'"
"b'Faves: Gully Boy, with Mard Ko Dard Nahi Hota as runner up. https://t.co/g0sJblwdKp'"
b'Gully Boy \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d'
b'RT @ThroughAScreen_: Alia Bhatt in Gully Boy (2019) https://t.co/bwOvGmfNoP'
b'RT @TODAYshow: One little boy really got a taste of the fish he caught with his brothers! #DalyClick https://t.co/jeDn7SKYZZ'
b'RT @aadisrkian1: 5) When Ranveer Singh INJURES Female FANS After Jumping Into Crowd | Gully Boy\n\nTab ye news dab jati h due to ranveer PR b\xe2\x80\xa6'
b'@ShelbsxMarie I feel like the show is popular for its aesthetics and over reaching symbolism. Fuck shinji. Maybe hi\xe2\x80\xa6 https://t.co/B38iQEL7EM'
b'RT @__Nxnx1: If you don\xe2\x80\x99t want a broken heart... get yourself a Ghanaian boy x'
"b'@gully__boy YES. they all have great scenes and moments that they could grow from, and then they just... dont. Espe\xe2\x80\xa6 https://t.co/Fe0QCG98oJ'"
b'@ShelbsxMarie I agree! I also find the characters to be rly annoying'
b'Gully boy was a masterpiece wtf u saying https://t.co/SbDFCiYNfV'
"b""@gully__boy It just doesnt have a good plot. There's no conclusion. Its very interesting, and I appreciate its impa\xe2\x80\xa6 https://t.co/heUTKvxHon"""
b'@ShelbsxMarie I tried rly hard too. I think it\xe2\x80\x99s for teens who are at the peak of angst and don\xe2\x80\x99t know what life is like yet'
